Resume_ID,Resume_Text
1,"data analyst with experience in excel, python, pandas, power bi"
2,"software engineer with experience in pandas, excel, java, python, power bi, react"
3,"machine learning engineer with experience in mysql, power bi, pandas, deep learning, html, machine learning, spring boot"
4,"software engineer with experience in javascript, deep learning, spring boot, python"
5,"frontend developer with experience in deep learning, numpy, machine learning"
6,"backend developer with experience in javascript, react, numpy, machine learning, java, python"
7,"software engineer with experience in javascript, numpy, deep learning"
8,"frontend developer with experience in css, numpy, javascript, machine learning, html, mysql, pandas"
9,"data scientist with experience in react, javascript, html, spring boot, python"
10,"software engineer with experience in sql, react, spring boot, deep learning, javascript, python"
11,"backend developer with experience in html, javascript, power bi"
12,"data scientist with experience in pandas, python, react, java, machine learning, javascript, power bi"
13,"data analyst with experience in pandas, spring boot, machine learning, python"
14,"backend developer with experience in deep learning, mysql, java"
15,"data analyst with experience in python, css, javascript, mysql"
16,"backend developer with experience in power bi, html, mysql, java, excel"
17,"machine learning engineer with experience in java, javascript, pandas, numpy, mysql, excel"
18,"frontend developer with experience in java, sql, react, excel, mysql, css"
19,"backend developer with experience in pandas, html, mysql, java"
20,"backend developer with experience in spring boot, deep learning, java, python, numpy"
21,"frontend developer with experience in machine learning, excel, css, pandas, numpy, react"
22,"data analyst with experience in excel, react, python, spring boot, java, sql, html"
23,"machine learning engineer with experience in spring boot, numpy, java, excel, css, mysql"
24,"backend developer with experience in python, mysql, spring boot, power bi, machine learning, deep learning"
25,"frontend developer with experience in css, deep learning, excel, spring boot"
26,"backend developer with experience in react, css, numpy, power bi, mysql, java"
27,"data scientist with experience in java, pandas, javascript"
28,"backend developer with experience in css, javascript, html"
29,"backend developer with experience in mysql, power bi, pandas, html, java, excel"
30,"frontend developer with experience in mysql, javascript, numpy, html, react, css"
31,"machine learning engineer with experience in pandas, deep learning, javascript, java, mysql, spring boot"
32,"backend developer with experience in react, javascript, power bi, spring boot, excel"
33,"data analyst with experience in pandas, deep learning, mysql, sql, excel, numpy"
34,"data analyst with experience in mysql, html, python, sql, react, css, javascript"
35,"data scientist with experience in deep learning, excel, machine learning, spring boot, react, mysql, java"
36,"software engineer with experience in python, html, deep learning, java"
37,"machine learning engineer with experience in deep learning, power bi, pandas, java, css, html"
38,"machine learning engineer with experience in react, power bi, spring boot, sql, java, python"
39,"backend developer with experience in numpy, javascript, machine learning, pandas, sql, spring boot, power bi"
40,"data analyst with experience in pandas, mysql, javascript"
41,"frontend developer with experience in java, power bi, python, machine learning, excel"
42,"machine learning engineer with experience in excel, pandas, python, java, css, javascript, machine learning"
43,"machine learning engineer with experience in excel, html, machine learning, css"
44,"machine learning engineer with experience in react, excel, deep learning, java, numpy, spring boot, html"
45,"data scientist with experience in spring boot, javascript, mysql, react, python, excel"
46,"machine learning engineer with experience in react, power bi, excel, pandas"
47,"software engineer with experience in deep learning, python, numpy, java, mysql, sql, excel"
48,"machine learning engineer with experience in css, deep learning, excel"
49,"software engineer with experience in power bi, mysql, javascript"
50,"machine learning engineer with experience in sql, react, power bi"
51,"machine learning engineer with experience in sql, python, machine learning, deep learning, pandas"
52,"data analyst with experience in spring boot, power bi, deep learning, html, python"
53,"data analyst with experience in sql, spring boot, excel, power bi"
54,"data scientist with experience in power bi, javascript, excel, java, machine learning"
55,"data scientist with experience in css, deep learning, power bi"
56,"machine learning engineer with experience in html, pandas, power bi, sql, react, javascript"
57,"frontend developer with experience in numpy, java, css, mysql, html"
58,"frontend developer with experience in css, html, javascript"
59,"frontend developer with experience in java, machine learning, pandas, mysql"
60,"software engineer with experience in power bi, excel, python"
61,"data analyst with experience in machine learning, java, html"
62,"data analyst with experience in html, java, numpy, sql, deep learning, excel"
63,"data scientist with experience in deep learning, mysql, machine learning, javascript, html, sql"
64,"data scientist with experience in mysql, python, power bi, deep learning, java, javascript, pandas"
65,"software engineer with experience in css, numpy, excel"
66,"frontend developer with experience in pandas, html, react, java"
67,"machine learning engineer with experience in javascript, machine learning, spring boot, sql, react, python, pandas"
68,"frontend developer with experience in excel, java, react"
69,"data analyst with experience in spring boot, numpy, pandas, java, sql, python, power bi"
70,"data analyst with experience in react, machine learning, excel, numpy, java, mysql, javascript"
71,"backend developer with experience in machine learning, react, deep learning, javascript, css, sql, numpy"
72,"backend developer with experience in pandas, excel, deep learning"
73,"backend developer with experience in pandas, deep learning, python, spring boot, excel, javascript, mysql"
74,"data scientist with experience in pandas, numpy, deep learning, mysql, react, machine learning"
75,"frontend developer with experience in sql, machine learning, excel, python, mysql, javascript"
76,"frontend developer with experience in pandas, mysql, deep learning, sql, power bi"
77,"backend developer with experience in html, deep learning, sql, python, spring boot, machine learning"
78,"machine learning engineer with experience in power bi, python, numpy, react, html"
79,"software engineer with experience in react, css, mysql, python"
80,"data analyst with experience in mysql, python, sql"
81,"frontend developer with experience in css, spring boot, sql, mysql, numpy, excel"
82,"backend developer with experience in mysql, react, power bi, pandas, css"
83,"software engineer with experience in python, machine learning, pandas, javascript, html, power bi"
84,"frontend developer with experience in power bi, sql, excel, css, html, mysql"
85,"data scientist with experience in python, css, java, spring boot, sql, html"
86,"data analyst with experience in power bi, numpy, javascript, mysql, sql"
87,"software engineer with experience in pandas, react, mysql, machine learning, numpy, deep learning"
88,"software engineer with experience in mysql, java, css, machine learning, spring boot, power bi"
89,"backend developer with experience in excel, python, pandas, html, numpy, deep learning, spring boot"
90,"backend developer with experience in javascript, numpy, mysql, power bi"
91,"software engineer with experience in power bi, css, javascript, mysql, sql"
92,"machine learning engineer with experience in javascript, sql, machine learning, power bi, excel, java, html"
93,"software engineer with experience in mysql, javascript, html, python, excel"
94,"backend developer with experience in excel, pandas, html, sql"
95,"data analyst with experience in excel, pandas, deep learning, react, mysql, sql, javascript"
96,"data analyst with experience in machine learning, react, spring boot, numpy"
97,"data analyst with experience in machine learning, css, java, javascript, spring boot, python, html"
98,"software engineer with experience in numpy, html, css, java, machine learning, power bi, pandas"
99,"backend developer with experience in html, javascript, mysql, spring boot"
100,"data scientist with experience in spring boot, deep learning, react, html"
101,"data analyst with experience in sql, mysql, java, spring boot, python, javascript, deep learning"
102,"frontend developer with experience in machine learning, html, spring boot, sql, react, numpy, power bi"
103,"frontend developer with experience in machine learning, spring boot, java, pandas"
104,"machine learning engineer with experience in excel, java, css, numpy, mysql"
105,"backend developer with experience in react, numpy, deep learning, mysql, excel, spring boot, html"
106,"frontend developer with experience in mysql, html, python, excel, deep learning, sql"
107,"data scientist with experience in javascript, java, numpy, css, machine learning"
108,"data analyst with experience in mysql, numpy, machine learning, sql"
109,"data scientist with experience in react, deep learning, mysql, numpy, spring boot, machine learning, excel"
110,"machine learning engineer with experience in java, numpy, machine learning, css, react"
111,"backend developer with experience in javascript, css, machine learning, sql, pandas, html, python"
112,"machine learning engineer with experience in java, python, sql, power bi, pandas, numpy, machine learning"
113,"backend developer with experience in css, java, deep learning, javascript, sql, pandas, mysql"
114,"software engineer with experience in power bi, html, mysql, react, css, pandas"
115,"machine learning engineer with experience in pandas, mysql, html, sql, machine learning, power bi, numpy"
116,"backend developer with experience in spring boot, pandas, html, machine learning, react, java, python"
117,"software engineer with experience in pandas, spring boot, machine learning, power bi, sql, excel"
118,"machine learning engineer with experience in machine learning, mysql, spring boot, pandas, numpy, react"
119,"software engineer with experience in java, spring boot, machine learning, excel, pandas, numpy"
120,"backend developer with experience in mysql, javascript, java, pandas"
121,"backend developer with experience in spring boot, html, sql, deep learning, power bi, java"
122,"software engineer with experience in deep learning, css, machine learning, power bi"
123,"data analyst with experience in numpy, javascript, spring boot"
124,"data scientist with experience in deep learning, python, html"
125,"backend developer with experience in css, sql, excel, deep learning, react, mysql"
126,"data scientist with experience in pandas, sql, html, power bi, numpy"
127,"data analyst with experience in power bi, react, javascript, mysql"
128,"data analyst with experience in power bi, python, javascript, numpy"
129,"frontend developer with experience in spring boot, mysql, python, power bi, sql, deep learning"
130,"data scientist with experience in react, numpy, excel, mysql, java, sql, css"
131,"frontend developer with experience in css, java, sql"
132,"backend developer with experience in sql, python, mysql, machine learning, pandas, react"
133,"machine learning engineer with experience in pandas, java, power bi, spring boot, python"
134,"frontend developer with experience in css, java, excel"
135,"machine learning engineer with experience in java, sql, react, excel"
136,"data scientist with experience in deep learning, html, power bi, mysql"
137,"data scientist with experience in css, html, java"
138,"backend developer with experience in numpy, javascript, power bi"
139,"backend developer with experience in java, python, pandas"
140,"machine learning engineer with experience in react, excel, html"
141,"software engineer with experience in java, javascript, excel"
142,"data analyst with experience in sql, python, mysql, spring boot, pandas"
143,"backend developer with experience in excel, java, sql, machine learning, javascript, react, css"
144,"data analyst with experience in spring boot, power bi, java, sql, javascript, machine learning"
145,"frontend developer with experience in python, html, numpy, mysql, sql"
146,"frontend developer with experience in deep learning, sql, excel, machine learning, java, power bi, javascript"
147,"backend developer with experience in html, power bi, machine learning, python, mysql, sql"
148,"software engineer with experience in sql, power bi, html, java"
149,"software engineer with experience in mysql, java, machine learning, excel, sql"
150,"backend developer with experience in excel, mysql, python"
151,"frontend developer with experience in excel, react, javascript, html, power bi, machine learning"
152,"software engineer with experience in python, java, javascript"
153,"data scientist with experience in power bi, react, css, javascript, python"
154,"data analyst with experience in python, pandas, numpy, java, javascript, excel"
155,"software engineer with experience in excel, power bi, react, html, sql"
156,"backend developer with experience in spring boot, javascript, python"
157,"data scientist with experience in numpy, python, excel"
158,"backend developer with experience in excel, sql, mysql, python, pandas, react"
159,"machine learning engineer with experience in machine learning, pandas, mysql"
160,"frontend developer with experience in excel, html, sql"
161,"machine learning engineer with experience in deep learning, javascript, machine learning"
162,"backend developer with experience in mysql, machine learning, pandas, sql, html"
163,"backend developer with experience in pandas, spring boot, java, mysql, javascript, deep learning, css"
164,"software engineer with experience in numpy, html, excel, react"
165,"frontend developer with experience in machine learning, excel, html, mysql, spring boot, pandas"
166,"data analyst with experience in excel, css, numpy, spring boot, javascript"
167,"data scientist with experience in java, sql, javascript, pandas"
168,"machine learning engineer with experience in css, spring boot, deep learning, java, pandas, sql, mysql"
169,"data analyst with experience in spring boot, html, numpy"
170,"backend developer with experience in python, java, html"
171,"machine learning engineer with experience in mysql, react, spring boot, sql, machine learning, power bi"
172,"machine learning engineer with experience in python, machine learning, numpy, deep learning, excel"
173,"software engineer with experience in machine learning, spring boot, mysql"
174,"software engineer with experience in java, power bi, numpy"
175,"software engineer with experience in sql, power bi, mysql, pandas, numpy, machine learning, react"
176,"frontend developer with experience in deep learning, python, javascript, power bi, java, html, machine learning"
177,"machine learning engineer with experience in mysql, numpy, python, css, javascript, java"
178,"frontend developer with experience in deep learning, react, spring boot, excel"
179,"backend developer with experience in css, java, sql, mysql, excel, pandas, react"
180,"backend developer with experience in excel, sql, mysql, machine learning, pandas, power bi, spring boot"
181,"data analyst with experience in mysql, css, machine learning, deep learning, javascript"
182,"backend developer with experience in pandas, java, mysql, python, react"
183,"machine learning engineer with experience in react, numpy, python, pandas"
184,"software engineer with experience in css, sql, excel, spring boot, html, pandas"
185,"backend developer with experience in python, java, react, pandas, css, sql"
186,"software engineer with experience in python, java, sql, pandas, deep learning, html"
187,"machine learning engineer with experience in mysql, pandas, power bi, deep learning, spring boot, html"
188,"software engineer with experience in spring boot, java, css"
189,"software engineer with experience in spring boot, sql, css, python, java, numpy"
190,"machine learning engineer with experience in java, sql, python, javascript"
191,"frontend developer with experience in css, python, react, deep learning, machine learning, spring boot"
192,"data scientist with experience in javascript, react, python, power bi, excel, spring boot, pandas"
193,"machine learning engineer with experience in power bi, html, spring boot, deep learning, numpy, react"
194,"backend developer with experience in deep learning, spring boot, java, css, power bi"
195,"backend developer with experience in excel, react, sql, javascript, java, spring boot, css"
196,"software engineer with experience in react, javascript, numpy"
197,"backend developer with experience in spring boot, deep learning, html, pandas, excel, css"
198,"data scientist with experience in css, java, excel, python"
199,"machine learning engineer with experience in machine learning, java, excel"
200,"software engineer with experience in python, spring boot, machine learning"
201,"software engineer with experience in excel, spring boot, html, mysql, sql, python, react"
202,"data analyst with experience in excel, spring boot, deep learning, power bi, java, numpy"
203,"data analyst with experience in css, machine learning, javascript, numpy"
204,"machine learning engineer with experience in machine learning, sql, css, python, javascript"
205,"frontend developer with experience in mysql, javascript, excel, power bi, html"
206,"machine learning engineer with experience in java, power bi, react, javascript, machine learning, sql"
207,"software engineer with experience in python, pandas, numpy, machine learning"
208,"frontend developer with experience in javascript, html, python"
209,"data scientist with experience in pandas, spring boot, css, numpy"
210,"data scientist with experience in java, html, javascript"
211,"data scientist with experience in mysql, css, sql, spring boot"
212,"frontend developer with experience in javascript, deep learning, java, css, react"
213,"data analyst with experience in javascript, numpy, sql"
214,"data scientist with experience in pandas, react, numpy, machine learning"
215,"machine learning engineer with experience in numpy, deep learning, pandas, excel"
216,"software engineer with experience in sql, numpy, power bi, html, javascript, java, deep learning"
217,"data analyst with experience in sql, power bi, numpy"
218,"machine learning engineer with experience in css, pandas, deep learning, numpy, machine learning, react, javascript"
219,"data analyst with experience in pandas, sql, power bi, machine learning, spring boot, java, excel"
220,"software engineer with experience in power bi, html, spring boot, python, machine learning"
221,"software engineer with experience in react, python, excel, spring boot, mysql, java, css"
222,"machine learning engineer with experience in deep learning, sql, python, javascript, pandas, machine learning, spring boot"
223,"frontend developer with experience in power bi, numpy, python, sql, machine learning, spring boot, deep learning"
224,"software engineer with experience in machine learning, power bi, deep learning, html, excel, react, javascript"
225,"frontend developer with experience in css, machine learning, mysql, java, spring boot"
226,"frontend developer with experience in spring boot, mysql, javascript"
227,"machine learning engineer with experience in spring boot, python, deep learning, power bi, sql"
228,"software engineer with experience in deep learning, mysql, sql"
229,"machine learning engineer with experience in excel, java, mysql"
230,"backend developer with experience in python, react, css, mysql"
231,"frontend developer with experience in html, spring boot, excel, sql, mysql, javascript"
232,"software engineer with experience in java, html, power bi, spring boot, javascript"
233,"data analyst with experience in sql, java, pandas"
234,"frontend developer with experience in pandas, machine learning, html, css, java, python, excel"
235,"software engineer with experience in numpy, power bi, pandas, machine learning, css, java, mysql"
236,"frontend developer with experience in sql, mysql, deep learning"
237,"backend developer with experience in mysql, excel, pandas, java, machine learning, spring boot"
238,"data analyst with experience in excel, deep learning, java, power bi, sql, python"
239,"data analyst with experience in excel, sql, react, deep learning, pandas, spring boot"
240,"machine learning engineer with experience in power bi, css, machine learning, react, javascript, html"
241,"backend developer with experience in deep learning, spring boot, python"
242,"frontend developer with experience in mysql, css, sql"
243,"data analyst with experience in sql, python, numpy"
